"분류별(1)","분류별(2)",구분별(1),구분별(2),2020,2021,2022
"한국여행중 서울방문","소계",전체,소계,47.2,57.7,82.4
"한국여행중 서울방문","소계",성별,남성,42.2,50.5,74.1
"한국여행중 서울방문","소계",성별,여성,62.3,74.6,90.6
"한국여행중 서울방문","소계",연령별,15-19세,75.0,84.4,92.5
"한국여행중 서울방문","소계",연령별,20대,66.7,63.3,88.7
"한국여행중 서울방문","소계",연령별,30대,41.4,54.9,79.6
"한국여행중 서울방문","소계",연령별,40대,44.1,52.3,77.2
"한국여행중 서울방문","소계",연령별,50대,42.3,52.2,77.1
"한국여행중 서울방문","소계",연령별,60대 이상,48.7,55.3,74.5
"한국여행중 서울방문","소계",방한목적,여가/위락/휴가,100.0,95.6,95.5
"한국여행중 서울방문","소계",방한목적,친구/친지 방문,66.9,64.0,81.1
"한국여행중 서울방문","소계",방한목적,사업/전문 활동,38.3,49.9,67.7
"한국여행중 서울방문","소계",방한목적,교육,47.3,69.7,86.1
"한국여행중 서울방문","소계",방한목적,종교 및 순례,-,25.0,64.5
"한국여행중 서울방문","소계",방한목적,기타,75.0,56.4,53.4
"한국여행중 서울방문","소계",방한횟수,1회,44.9,62.5,86.5
"한국여행중 서울방문","소계",방한횟수,2회,48.5,56.7,79.6
"한국여행중 서울방문","소계",방한횟수,3회,58.5,55.3,80.4
"한국여행중 서울방문","소계",방한횟수,4회 이상,44.9,54.3,78.0
